奕码·优化版 拆分表（hanzi-chai驱动，共8230字）
说明: 拆分中[xx]为PUA部件名；编码为三码全码；排名0=非top6000
------------------------------------------------------------
字	排名	频率	拆分	编码
律	526	239972	彳·聿·聿	wcv
足	527	793308	足·足·足	ruu
态	528	376900	大·丶·心	kzn
护	529	378333	扌·户·户	hrh
七	530	683958	七·七·七	bqq
兴	531	505131	[学字头]·[共字底]·[共字底]	dtb
派	532	662252	氵·[反字框]·[旅下角]	oac
孩	533	487013	子·亥·亥	yzh
验	534	306118	马·亼·[应字心]	urd
责	535	273669	责·责·责	gee
营	536	673700	[荧字头]·口·口	njj
星	537	917555	日·生·生	dts
够	538	724248	句·夕·夕	vtt
章	539	417290	音·十·十	sus
音	540	498776	音·音·音	syy
跟	541	2889461	[足旁]·艮·艮	rzg
志	542	632981	士·心·心	znx
底	543	559826	广·[卬字旁]·丶	xnz
站	544	2197202	立·占·占	ypa
严	545	374450	一·[业无横]·厂	ela
巴	546	945781	巴·巴·巴	vbb
例	547	525541	亻·歹·刂	mux
防	548	625735	阝·方·方	zuf
族	549	387430	方·[卧人]·矢	uff
供	550	812148	亻·龷·八	myt
效	551	419287	六·㐅·攵	mhy
续	552	480371	纟·十·大	yuk
施	553	536424	方·[卧人]·也	ufd
留	554	817674	[留字头]·田·田	nbt
讲	555	1254400	讠·井·井	iqj
型	556	2105919	开·刂·土	cxa
料	557	719144	米·斗·斗	xtd
终	558	335037	纟·夊·[冬字底]	yrf
答	559	622657	[竹头]·合·合	pqh
紧	560	336732	[临字旁]·又·糸	prz
黄	561	1389723	龷·[黄字底]·[黄字底]	yhy
绝	562	317416	纟·[尔字头]·巴	yiv
奇	563	618713	大·可·可	knk
察	564	205315	宀·[祭字头]·示	ltq
母	565	400583	母·母·母	tmm
京	566	705006	[享字头]·小·小	uhx
段	567	1113908	[段字旁]·殳·殳	hbs
依	568	461260	亻·衣·衣	mci
批	569	361766	扌·比·比	hzb
群	570	833480	[聿三]·丿·羊	uai
项	571	1413297	工·页·页	mxy
故	572	433337	古·攵·攵	nyp
按	573	1593605	扌·宀·女	hlg
河	574	902429	氵·可·可	onk
米	575	1687154	米·米·米	xmm
围	576	367030	囗·韦·韦	wlw
江	577	791958	氵·工·工	omg
织	578	217383	纟·口·八	yjt
害	579	235490	宀·丰·口	lpj
斗	580	239620	斗·斗·斗	tdd
双	581	1325968	双·双·双	vss
境	582	322088	土·音·[见字底]	asy
客	583	731949	宀·各·各	ldg
纪	584	336867	纟·己·己	yhj
采	585	624789	采·采·采	mcc
举	586	645260	[学字头]·[共字底]·[举字底]	dth
杀	587	523503	㐅·朩·朩	hsm
攻	588	251709	工·攵·攵	myp
父	589	303594	八·㐅·㐅	thi
苏	590	683984	[贲字腰]·力·[横两点]	bit
密	591	304477	宀·心·山	lne
低	592	1963484	亻·[卬字旁]·丶	mnz
朝	593	393600	十·日·月	udv
友	594	730902	[左字框]·又·又	cry
诉	595	192565	讠·斤·丶	ilz
止	596	471274	[止旁]·[止旁]·[止旁]	kii
愿	597	290530	厂·白·心	agn
细	598	571010	纟·田·田	ybt
千	599	571969	千·千·千	iqq
值	600	1735869	亻·直·直	mni
仍	601	795576	亻·乃·乃	mvn
男	602	1263110	田·力·力	bil
钱	603	1958153	钅·一·戈	teq
破	604	628859	石·皮·皮	usp
网	605	2368698	冂·㐅·㐅	ghh
热	606	1188682	扌·九·灬	hub
助	607	491196	且·力·力	uil
倒	608	608422	亻·至·刂	mrx
