# 奕码优化版 拆分表 (官方拆分 100% 保真, 根名为主根字符)
的	白 勹 4
楪	木 廿 5 木
绹	纟 勹 缶
偓	亻 尸 至
簃	竹 禾 夕 夕
骉	马 马 马
鲌	鱼 白
垱	土 龸 彐
癿	白 5
釐	未 夂 厂 里
甦	更 生
暲	日 音 十
邲	心 3 耳
烔	火 冂 
珵	王 口 王
僰	朿 朿 人
倓	亻 火 火
鲴	鱼 囗 古
澥	氵 角 刀 牛
彟	彐 寸 艹 隹 又
劄	竹 合 刀
𩾌	鱼 广 聿 水
𩽾	鱼 宀 女
潽	氵 丷 业 日
壸	 1 业
朓	月 儿 冫 冫
翙	山 夕 羽
悰	心 宀 示
梠	木 口 口
硁	石 又 工
璥	王 艹 句 夂
倧	亻 宀 示
蔹	艹 合 龸 夂
溍	氵 1 业 日
甡	生 生
赑	贝 贝 贝
嗞	口 丷 幺 幺
筼	竹 口 贝
陞	耳 3 艹 土
棪	木 火 火
尢	尤
牤	牛 亡
菉	艹 彐 水
暕	日 束 丷
溞	氵 又 4 虫
塝	土 立 方
镈	金 甫 寸
矻	石 气 6
浡	氵  子
潾	氵 米 夕 㐄
鲊	鱼 乍
浉	氵 刀 1 巾
堽	土 四 正
湴	氵 丷 业
盦	令 5 酉 皿
棐	非 木
瀼	氵 衣 吅 井
斝	吅 冖 斗
佸	亻 舌
浥	氵 口 巴
倞	亻 高 小
瑆	王 日 生
龁	齿 气 6
婳	女 1 田 冂
橦	木 立 里
湲	氵 爪 1 右 又
茀	艹 弓 
夬	匚 人
堌	土 囗 古
梾	木 未 丷
姶	女 合
妘	女 云
玚	王 5 彡
剋	古 儿 刀
婠	女 宀 吅
旵	日 山
怍	心 乍
塆	土 亦 弓
钖	金 5 彡
璪	王 口 吅 木
梣	木 山 令 5
毌	毌
囷	囗 禾
羕	羊 4 水
甗	虍 鬲 瓦
縠	 1 纟
杙	木 弋
槚	木 西 贝
骙	马 八 天
泇	氵 力 口
骃	马 囗 大
勔	面 力
姞	女 吉
晢	手 斤 日
䶮	龙 天
堎	土 土 八 夂
晊	日 至
觃	见 子
砮	女 又 石
纻	纟 宀 1
硙	石 山 己
鄘	广 聿 用 耳
翾	四  衣 羽
洨	氵 六 乂
洣	氵 米
盉	禾 皿
夐	角 冂 人 目 夂
乸	也 母
璮	王 亠 吅 旦
侁	亻 牛 儿
蝲	虫 束 刀
瑳	王 羊 工
禚	示 羊 火
亹	亠 臼 冂  冖 且
鼒	十 3 目 片 片
𫚕	鱼 刀 1 巾
嬬	女 雨 而
朏	月 屮 冂
靬	革 干
帻	巾 责
墕	土 正 1 5 火
滃	氵 八 厶 羽
泂	氵 冂 口
崟	山 金
傒	亻 爪 幺 大
摽	手 西 示
伾	亻 不 1
噂	口 酋 寸
埇	土 厶 用
昳	日 3 夫
鞨	革 日 勹 亡
龠	合 吅 口 册
裈	衣 冖 车
昫	日 句
锳	金 艹 冂 大
珖	王 龸 兀
菂	艹 白 勹 4
珹	王 戊 5
鲾	鱼  田
骎	马 彐 冖 又
婼	女 艹 右
偰	亻 丰 刀 大
棫	木 戈 
靺	革 末
矞	矛 冂 八 口
杧	木 亡
犨	隹 隹 牛
珦	王  口
渼	氵 羊 大
沘	氵 比
葰	艹 亻 厶 八 夂
滆	氵 鬲
漷	氵 高 子 耳
郪	聿 女 耳
鳓	鱼 革 力
沨	氵 几 乂
琫	王 丰 手
玓	王 勹 4
敩	龸 子 夂
熥	火 厶 用 辶
溇	氵 米 女
璲	王 丷 豕 辶
抃	手 亠 卜
䜣	言 斤
鞬	革 聿 廴
慥	心 牛 口 辶
涘	氵 厶 矢
猄	犬 高 小
霅	雨 言
魋	 厶 隹
藠	艹 白 白 白
冮	冫 工
镚	金 山 月 月
姤	女 厂 
䃅	石  十
镃	金 丷 幺 幺
瀍	氵 广 里 八 土
叆	云  右 又
屼	山 兀
宧	宀 臣
霨	雨 尸 示 寸
瑨	王 1 业 日
簠	竹 甫 皿
巉	山 象 比 象 儿 4
垍	土 自
濩	氵 艹 隹 又
惔	心 火 火
焞	火 高 子
岞	山 乍
憺	心 角 厂 八 言
煃	火 大 圭
蒟	艹 立 句
嵚	山 金 欠
椀	木 宀 夕 卩
栟	木 丷 开
禋	示 西 土
鄫	 日 耳
瓖	王 衣 吅 井
籥	竹 合 吅 口 册
潏	氵 矛 冂 八 口
扺	手 卯 七
酺	酉 甫
硔	石 廿 八
煴	火 日 皿
觿	角 山 隹 冂 八 口
祊	示 方
塅	土 手 殳
薁	艹  米 大
檞	木 角 刀 牛
浰	氵 禾 刀
钘	金 开
鳂	鱼 田 1 衣
镋	金 龸 口 儿
酾	酉 1 月 月
琄	王 口 月
簖	竹 米 5 斤
墡	土 羊 丷 口
嶲	山 隹 2 5 冂
缐	纟 白 水
柷	木 口 儿
洢	氵 亻 彐 3
沺	氵 田
漼	氵 山 隹
𫍽	言 四  衣
鹖	日 勹 亡 鸟
赪	土 业 卜 贝
𬀩	日 韦
梼	木 丰 寸
苧	艹 宀 丁
蓂	 日 六
洑	氵 亻 犬
浛	氵 令 5 口
酂	牛 儿 牛 儿 贝 耳
妁	女 勹 4
焌	火 厶 八 夂
𬘭	纟 林
哱	口  子
嶅	丰 刀 夂 山
郈	厂  耳
鳠	鱼 艹 隹 又
肸	月 八 十
蠋	虫 四 勹 虫
腙	月 宀 示
橞	木 二 虫 心
螠	虫 丷 八 皿
奓	大 夕 夕
縢	月 夫 纟
杻	木 5 土
祾	示 土 八 夂
屃	尸 贝
鳡	鱼 戊  心
澴	氵 四  衣
𫓹	金 其
缊	纟 日 皿
婞	女 土 羊
槱	木 酉 火
玒	王 工
扽	手 1 屮
虒	厂 虍 几
栴	木 气 冂 亠
𫖮	山 己 页
湑	氵 疋 月
妧	女 二 儿
佽	亻 冫 欠
掞	手 火 火
鲕	鱼 而
漖	氵 者 子 夂
匜	匚 也
翛	亻 夂 羽
棓	木 立 口
蒻	艹 弓 冫 弓 冫
弨	弓 召
襕	衣 门 束 丷
鄀	艹 右 耳
舁	臼 艹
鲙	鱼 人 云
脿	月 丰 衣
黡	厂 犬 黑
梿	木 车 辶
辿	山 辶
摛	手 亠 乂 冂 内
墣	土 业 羊 4
姈	女 令
佖	亻 心 3
憕	心 八 豆
褙	衣 片 匕 月
襜	衣 角 厂 八 言
峃	龸 山
髢	长 也
楩	木 亻 更
鄗	高 耳
嵎	山 田 内
旿	日 气 十
珋	王 卯
瑑	王 彐 豕
汫	氵 井
涐	氵 手 戈
茝	艹 臣
柈	木 丷 手
媄	女 羊 大
垯	土 大 辶
涢	氵 口 贝
晅	日 1 旦
嚄	口 艹 隹 又
臑	月 雨 而
琭	王 彐 水
蓢	艹 4 艮 月
鄠	雨 1 丂 耳
舲	舟 令
爚	火 合 吅 口 册
𬺈	齿 大 可
晫	日 卜 日 十
𬙂	纟 宀 1 由
煋	火 日 生
镮	金 四  衣
鱾	鱼 己
骍	马 辛
祃	示 马
鄅	3 口 内 耳
羑	羊 角 4
垞	土 宀 3 七
呣	口 母
羱	羊 厂 白 小
馉	食 骨
跂	足 十 又
髃	骨 田 内
窅	穴 目
萹	艹 户 册
潩	氵 田 廿 八
皕	百 百
涴	氵 宀 夕 卩
旴	日 1 十
禘	示 立 巾
牮	亻 弋 牛
轷	车 3 丷 十
媭	彡 页 女
碥	石 户 册
氿	氵 九
镴	金 川 鼠
峘	山 1 旦
崄	山 合 龸
暅	日 心 1 旦
鲖	鱼 冂 
瑔	王 白 水
泃	氵 句
捽	手 亠 人 人 十
坰	土 冂 口
玶	王 干 丷
秬	禾 匚 匚
筥	竹 口 口
讱	言 刀 4
玼	王 止 匕
璬	王 白 方 夂
羖	羊 殳
顸	干 页
尨	右 5 彡
坬	土 瓜
庼	广 匕 页
咺	口 1 旦
胠	月 土 厶
瑧	王 丰 禾
碏	石 廿 日
趯	走 羽 隹
愃	心 宀 1 旦
湝	氵 比 白
椑	木  十
猯	犬 山 而
翯	羽 高
礌	石 雨 田
熇	火 高
𬒈	龸 石
跐	足 止 匕
潵	氵 廿 月 夂
耑	山 而
衒	行 亠 幺
鳣	鱼 亠 吅 旦
垿	土 广 予
螣	月 夫 虫
葙	艹 木 目
叚	尸 二 匚 又
倕	亻 千 艹 二
臜	月 牛 儿 牛 儿 贝
硿	石 穴 工
磜	石 八 示
铏	金 开 刀
芼	艹 毛
梴	木 3 止 廴
瑅	王 日 疋
蒈	艹 比 白
娀	女 戈 右
悆	人 禾 心
垈	亻 弋 土
珫	王 云 儿
蒄	艹 冖 二 儿 寸
辒	车 日 皿
刬	1 戈 刀
櫆	木  厶 斗
蔀	艹 立 口 耳
欻	火 火 欠
皦	白 白 方 夂
惎	其 心
榑	木 甫 寸
鹢	丷 八 皿 鸟
侹	亻 王 廴
洿	氵 大 1 丂
爔	火 羊 禾 丂 戈
琡	王 上 小 又
簰	竹 片  十
洭	氵 匚 王
琀	王 令 5 口
昄	日 厂 又
鳒	鱼 丷 彐 业
嶓	山 采 田
僔	亻 酋 寸
媖	女 艹 冂 大
垎	土 各
筦	竹 宀 二 儿
拃	手 乍
俍	亻 4 艮
椆	木 冂 吉
篥	竹 西 木
鳈	鱼 白 水
咇	口 心 3
黇	廿 由 占
莰	艹 土 欠
绖	纟 至
鬷	鬲 乂 冂 八 夂
慬	心 革 二
玱	王 人 卩
瑝	王 白 王
纴	纟 王
𬶍	鱼 宀 匕
嘡	口 龸 口 土
婻	女 十 冂 羊
昤	日 令
咍	口 厶 口
祲	示 彐 冖 又
炌	火 人 
隃	耳 合 月 刀
桯	木 口 王
棁	木  儿
澭	氵 亠 乡 隹
瑂	王 尸 目
𨱇	金 求
𩾃	鱼 象 儿
𬣞	言 宀 1
梽	木 士 心
荄	艹 亥
𪩘	山 十 冂 羊 犬
垾	土 日 干
慭	未 丷 犬 心
藟	艹 田 田 田
矼	石 工
浭	氵 更
郚	五 口 耳
汈	氵 5 1
齉	自 田 兀  吅 井 衣
觭	角 大 可
轪	车 大
惛	心 卯 七 日
栐	木 4 水
鼽	自 田 兀 九
煟	火 田 月
漴	氵 山 宀 示
蓇	艹 骨
鄃	合 月 刀 耳
戣	八 天 戈
濋	氵 林 疋
苠	艹 民
埵	土 千 艹 二
珒	王 聿
㭎	木 冂 乂
昡	日 亠 幺
爟	火 艹 吅 隹
猺	犬 爪 缶
褕	衣 合 月 刀
埆	土 角
漹	氵 正 1 5 火
俙	亻 乂 右 巾
猇	犬 虍 几
墦	土 采 田
斠	井 冂 土 斗
熻	火 合 羽
嫽	女 大 丷 日 小
珌	王 心 3
繄	匚 矢 殳 纟
辀	车 舟
鲯	鱼 其
嚚	吅 臣 吅
圫	土 3 七
岊	巴 山
溵	氵 厂 彐 5 殳
邘	1 十 耳
奡	页 大 
攽	八 刀 夂
䲠	鱼 丰 日
僇	亻 羽 人 彡
觱	戊  角
浟	氵 亻 夂
燋	火 隹 火
桲	木  子
鬶	夫 见 鬲
鳁	鱼 日 皿
鹲	 1 豕 鸟
帨	巾  儿
诐	言 皮
儦	亻 鹿 火
猰	犬 丰 刀 大
舥	舟 巴
飔	几 乂 田 心
俫	亻 未 丷
熛	火 西 示
疐	 田 疋
睎	目 乂 右 巾
魆	 厶 戊
鲺	鱼 5 3 虫
靸	革 及
枲	厶 口 木
珷	王 1 弋 止
厖	厂 右 5 彡
穜	禾 立 里
艅	舟 人 禾
靰	革 兀
萚	艹 手 又 手
踦	足 大 可
儴	亻 衣 吅 井
埫	土 龸 口
忳	心 1 屮
愐	心 面
楒	木 田 心
麀	鹿 匕
嶦	山 角 厂 八 言
滍	氵 屮 1 虫
滧	氵 六 乂 夂
飐	几 乂 占
𬶨	艮 无 鱼
𬸦	方 气 矢 鸟
堨	土 日 勹 亡
穟	禾 丷 豕 辶
竫	立 角 聿
𫘧	马 彐 水
慆	心 爪 臼
嫕	女 匚 矢 心
蓰	艹 彳 止 疋
筶	竹 牛 口
擿	手 立 古 辶
泙	氵 干 丷
鹯	亠 吅 旦 鸟
𬬮	金 长
墈	土 其 5 力
汋	氵 勹 4
眊	目 毛
蘘	艹 衣 吅 井
鸧	人 卩 鸟
𬟽	虫 七 小
荮	艹 纟 寸
岠	山 匚 匚
泜	氵 卯 七 4
鿏	金 丰 夂
淜	氵 月 月
蔊	艹 火 日 干
玡	王 牙
詟	龙 言
嶍	山 羽 白
犏	牛 户 册
裛	衣 口 巴
𫚭	鱼 川 鼠
窊	穴 瓜
澼	氵 尸 口 辛
麑	鹿 臼 儿
妭	女 右 又
崒	山 亠 人 人 十
愭	心 者 匕 日
晪	日 册 八
烶	火 王 廴
茓	艹 穴
蹐	足 冫 冫 人 月
鳛	鱼 羽 白
鸼	舟 鸟
𬘩	纟 王 廴
醨	酉 亠 乂 冂 内
炣	火 可
槜	木 隹 乃
糒	米 廿 3 用
酅	山 隹 冂 八 口 耳
鹠	卯 田 鸟
姱	女 大 1 丂
耇	者 句
剅	豆 刀
崡	山 5 水 冂
矰	矢  日
椓	木 豕 4
礵	石 雨 木 目
薢	艹 角 刀 牛
𬀪	日 见
缞	纟 衣 冂 二
傃	亻 丰 纟
墐	土 革 二
崌	山 尸 古
疁	田 羽 人 彡
岨	山 且
伣	亻 见
婍	女 大 可
杕	木 大
洴	氵 丷 开
璒	王 八 豆
薸	 西 示
蜎	虫 口 月
棽	林 令 5
耏	而 彡
蹾	足 高 子 夂
崶	山 圭 寸
玃	犬 目 目 隹 又
坉	土 1 屮
垙	土 龸 兀
祋	示 殳
莙	艹 彐 3 口
辌	车 高 小
遆	立 巾 辶
鸤	尸 鸟
瞫	目 西 日 十
昽	日 龙
锧	金 厂 十 贝
漤	氵 林 女
脎	月 乂 木
惙	心 双 双
藦	艹 广 林 手
昣	日 人 彡
棬	木 夫 卩
琈	王 爪 子
箖	竹 林
耰	二 木 页 心 夂
萳	艹 十 冂 羊
蒱	艹 手 甫
镵	金 象 比 象 儿 4
牁	片 可
哢	口 王 艹
亸	高 子  十
冔	日 口 1 十
涍	氵 者 子
邿	寺 耳
隩	耳  米 大
髽	长 人 人 土
𬍛	王 卯 小
崿	山 吅 1 丂
偭	亻 面
勠	羽 人 彡 力
弶	弓 高 小
酦	酉 屮 又
雊	句 隹
𬴂	马 非
圙	囗 八 面
圐	囗 四 方
咡	口 耳
鄌	广 聿 口 耳
煓	火 山 而
玞	王 夫
赒	贝 冂 吉
庤	广 寺
榅	木 日 皿
𬘫	纟 宀 二 儿
啴	口  十
薳	艹 土 口 亻 3 4 辶
噀	口 巳 巳 廿 八
堧	土 而 大
瀌	氵 鹿 火
珸	王 五 口
羓	羊 巴
鲪	鱼 彐 3 口
伈	亻 心
娵	女 耳 又
玿	王 召
婤	女 冂 吉
榃	林 田
殣	歹 革 二
瑬	氵 云 川 玉
鬒	长 直 八
麖	鹿 高 小
𬱟	角 厂 卩 页
溚	氵 艹 合
旐	方 气 儿 冫 冫
坋	土 八 刀
堼	圭 寸 土
滪	氵 予 页
漋	氵 耳 夂 1 生
蔈	艹 西 示
铻	金 五 口
珛	王 右 月
媓	女 白 王
嬥	女 羽 隹
暶	日 方 气 疋
橑	木 大 丷 日 小
牚	龸 口 牙
犋	牛 且 八
礞	石  1 豕
莝	艹 人 人 土
葖	艹 穴 犬
跱	足 寺
馌	食 土 厶 皿
𬬱	金 斤
嶒	山  日
灈	氵 目 目 隹
倴	亻 大 十 艹
凘	冫 其 斤
嫭	女 虍 3 丷 十
潖	氵 王 王 巴
珢	王 艮
磹	石 西 日 十
訄	九 言
𬩽	彐 寸 耳
徛	彳 大 可
鼫	鼠 石
暵	日 廿  大
逴	卜 日 十 辶
氇	毛 鱼 日
𦈡	纟 雨 而
驲	马 日
穄	禾 八 示
窎	穴 鸟
淴	氵 勹 彡 心
貆	豸 1 旦
赗	贝 日 目
饻	食 衣
琔	王 宀 疋
蟫	虫 西 日 十
佁	亻 厶 口
渰	氵 合 艹
焆	火 口 月
脶	月 口 内
腯	月 厂 十 目
菍	艹 令 5 心
袗	衣 人 彡
鞳	革 艹 合
𬭩	金 八 厶 羽
杄	木 千
歅	西 土 欠
姽	女 角 厂 卩
叇	云 聿 水 辶
揳	手 丰 刀 大
棤	木 廿 日
溠	氵 羊 工
糵	艹 3 吅 辛 米
荙	艹 大 辶
蚆	虫 巴
蛃	虫 1 内
鄑	1 业 日 耳
韨	韦 右 又
悢	心 4 艮
媱	女 爪 缶
勚	廿 5 贝 力
峂	山 夂 冫
帡	巾 丷 开
幖	巾 西 示
弸	弓 月 月
狉	犬 不 1
稑	禾 土 八 土
蓏	艹 瓜 瓜
谼	谷 廿 八
踶	足 日 疋
鹔	聿  八 鸟
鹙	禾 火 鸟
𫇭	艹 4 力 4
𬸚	犬 言 犬 鸟
伭	亻 亠 幺
澛	氵 鱼 日
璱	王 王 王 心 3
疭	疒 人 人
葴	艹 戊 
诇	言 冂 口
韂	革 角 厂 八 言
鱽	鱼 刀
鹒	广 彐 人 鸟
𬭎	金 宀 右 厶
唝	口 工 贝
堲	艮 卩 土
巇	山 虍 豆 戈
戭	宀 1 由 戈
斶	斤 四 勹 虫
烻	火 3 止 廴
瑃	王 丰 日
疢	疒 火
癗	疒 雨 田
皭	白 爪 四 艮 寸
耥	二 木 龸 口
艎	舟 白 王
薿	艹 匕 矢 厶 疋
虷	虫 干
馞	禾 日  子
𫓶	金 口 月
𬭚	金 高 子
漦	未 夂 厂 水
匼	匚 合
呇	水 口
舠	舟 刀
饳	食 屮 冂
鹴	雨 木 目 鸟
𣸣	氵 十 艹 贝
咉	口 冂 大
蹽	足 大 丷 日 小
醾	酉 广 林 米
烠	火 右 月
儳	亻 象 比 象 儿 4
寁	宀 聿 疋
弆	土 厶 艹
摏	手 丰 臼
煁	火 其 5
砠	石 且
磏	石 丷 彐 业
螱	尸 示 寸 虫
飗	几 乂 卯 田
𫘝	马 匚 人
𬇙	氵 贝
𬶭	鱼 八 示
拤	手 上 卜
翂	羽 八 刀
垏	土 聿
昈	日 户
浕	氵 尸 4 冫
硍	石 艮
觟	角 圭
蹜	足 宀 亻 百
龂	齿 斤
绤	纟 谷
䴘	厂 虍 几 鸟
䴙	尸 口 辛 鸟
偡	亻 其 5
凓	冫 西 木
揕	手 其 5
朸	木 力
桹	木 4 艮
榰	木 者 匕 日
洓	氵 朿
琟	王 隹
茽	艹 亻 中
𬘡	纟 囗 大
㧑	手 4 力 4
塥	土 鬲
澽	氵 虍 豕
牥	牛 方
睄	目 龸 月
罶	四 卯 田
𬤊	言 日 疋
恓	心 西
剕	非 刀
喤	口 白 王
婌	女 上 小 又
嵲	山 自 木
挦	手 彐 寸
骦	马 雨 木 目
鳤	鱼 竹 宀 吅
𫘨	马 日 疋
𬤇	言 西 土
𬨎	车 酋
漻	氵 羽 人 彡
褟	衣 日 羽
侴	合 5 土 刀
峱	犬 5 土 山
忺	心 欠
搒	手 立 方
珇	王 且
碨	石 田 1 衣
翈	甲 羽
翷	米 夕 㐄 羽
荁	艹 1 旦
袯	衣 屮 又
隺	冖 隹
𪨶	山 大 车
𪾢	目 见
𫄨	纟 乂 右 巾
𫮃	土  十
𬤝	言 二 虫 心
硊	石 角 厂 卩
圢	土 丁
朳	木 八
洘	氵 者 丂
蔃	艹 弓 口 虫
𤩽	王 十 冂 羊 犬
𫞩	王 艹 1 内 人
𬣙	言 1 十
𬴊	马 米 夕 㐄
垺	土 爪 子
埪	土 穴 工
摴	手 雨 1 丂
柖	木 召
玤	王 丰
珕	王 力 力 力
瘭	疒 西 示
稌	禾 人 禾
笯	竹 女 又
膙	月 弓 口 虫
苉	艹 匚 儿
馝	禾 日 心 3
𫟹	金 廿 八
𬬭	金 人 匕
峗	山 角 厂 卩
嶟	山 酋 寸
悈	心 戈 艹
挓	手 宀 3 七
梌	木 人 禾
瓀	王 雨 而
禒	示 彐 豕
蹅	足 木 旦
鹐	角 臼 鸟
𣲗	氵 韦
𫄸	纟 千 黑
𫷷	广 金 欠
淟	氵 册 八
剟	双 双 刀
噇	口 立 里
坽	土 令
峿	山 五 口
盷	目 勹 冫
衃	3 皿 不
讻	言 乂 冂
靿	革 幺 力
鹝	鬲 鸟
鿍	土 夂 㐄
𫓧	金 夫
𬍡	氵 5 彡 玉
𬸣	宀 井 八 鸟
鞧	革 酋
䌹	纟 冂 口
婫	女 日 比
孅	女 人 人 戈 非 1
峛	山 歹 刀
晱	日 火 火
枅	木 开
滫	氵 亻 夂 月
瀱	氵 四 厂 火 火 刀
砆	石 夫
腨	月 山 而
襚	衣 丷 豕 辶
阘	门 日 羽
鲝	羊 鱼
𫗧	食 束
哃	口 冂 
瀔	氵  1 禾
椸	木 方 气 也
堾	土 丰 日
庱	广 土 八 夂
溹	氵  纟
砄	石 匚 人
竘	立 句
虸	虫 子
蜐	虫 土 厶 力
𫄧	纟 3 止 廴
𬘘	纟 冖 儿
𬬸	金 木 4
𬳿	马 人 禾
畖	田 瓜
䴖	丰 月 鸟
媂	女 立 巾
旞	方 气 丷 豕 辶
碃	石 丰 月
簝	竹 大 丷 日 小
胈	月 右 又
衠	行 直 八
𬣳	言 艮
𬭁	金 母
𬭼	金 丷 豕 辶
堐	土 厂 圭
䲟	鱼 卯 1 卩
坒	比 土
坥	土 且
筤	竹 4 艮
簉	竹 牛 口 辶
脟	月 爪 寸
𫐄	车 兀
𬇕	氵 1 刀
𬭸	金 米 夕 㐄
𬳶	马 冂 口
䗖	虫  巾
圲	土 千
扊	户 火 火
枍	木 八 丂
浲	氵 夂 丰
瑓	王 束 丷
纼	纟 弓 2
腒	月 尸 古
蟏	虫 艹 聿  八
馧	禾 日 日 皿
齇	自 田 兀 虍 且
鿎	石 大 辶
𨱏	金 艹 合
𫖳	彐 3 口 页
𫘦	马 勹 缶
𬬩	金 弋
𬶮	鱼 壴 口
暿	日 壴 口
䴕	歹 刀 鸟
媆	女 而 大
扅	户 夕 夕
晐	日 亥
欂	木  甫 寸
虤	虍 几 虍 几
踒	足 禾 女
𨱑	金 廿 由
𨱔	金 酋 寸
𫍲	言 臼 2 又
𫑡	口 电 耳
𫔍	金 采 田
𫛭	犬 王 鸟
𬊈	火 彐 寸
𬕂	竹 工 贝
褯	衣 广 廿 巾
婘	女 夫 卩
嵅	山 戊 
穙	禾 业 羊 4
胣	月 气 也
蚲	虫 干 丷
襫	衣 大 百 百
蹢	足 立 古
𫍯	言 戊 
𬉼	火 匚 乂
𬜬	艹 门 口
𬯎	耳 虫 贝
𬶏	鱼 角 厂 卩
䁖	目 米 女
扂	户 占
䓖	艹 穴 力
瓻	乂 右 巾 瓦
痓	疒 至
蚄	虫 方
豮	豕 十 艹 贝
陎	耳 3 未
陑	耳 而
𪣻	土 米 女
𫚖	止 匕 鱼
𬇹	氵 囗 玉
𬭬	金 丰 丰 彐
𬯀	耳 文 
𬳵	马 不 1
𬳽	马 牛 儿
𬶟	鱼 束 刀
筀	竹 圭
𣗋	木 龸 口 儿
𬘬	纟 丰 月
𬙊	纟 黑 土
𬬻	金 卜 尸
𬭤	金 亻 匚 矢
𬴃	马 丰 石
䅟	禾 厶 大 彡
䴔	六 乂 鸟
恔	心 六 乂
涄	氵 由 丂
𣲘	氵 无
𫘜	马 文
𬊤	火  十
𬪩	酉 冖 衣
𬶐	鱼 儿 冫 冫
𬶠	鱼 束 丷
𫘪	马 厂 白 小
𫠜	齿 臼 儿
𫢸	亻  十
𫶇	山  巾
𬙋	纟 衣 吅 井
𬟁	艹 鬲 鸟
𬮱	门 西 土
𬶋	鱼 句
㧟	手 氵 匚
䏝	月 二 5 4
䥽	金 屮 又
䦃	金 艹 者
䲢	月 夫 鱼
䴗	目 犬 鸟
昒	日 勹 彡
𫌀	衣 责
𫍣	言 冂 
𫐐	车 臼 儿
𫓯	金 圭
𫔎	金 矛 冂 八 口
𫗴	食 亠 吅 旦
𫠆	十 又 页
𫭢	土 人 匕
𫰛	女 又 工
𬂩	木 夫 丷
𬍤	王 彐 寸
𬘓	纟 川
𬬹	金 申
𬷕	甫 鸟
𬸘	匚 日 女 鸟
㸆	火 牛 口 非
𥻗	米 木 旦
𧿹	足 母
㑊	亻 亦
㕮	口 八 乂
㘎	口 门 5 耳 夂
㙍	土 双 双
㙦	人 禾 斗 土
㛃	丰 刀 女
㛚	女 厶 用
㛹	女 亻 更
㟃	山 5 
㠇	山 高 小 尤
㠓	山  1 豕
㤘	心 角 彐
㥄	心 土 八 夂
㧐	手 双
㫰	日 4 艮
㬊	日 爪 1 右 又
㬚	日 云 月 夂
㭕	木 土 厶
㮾	4 艮 月 木
㰀	木 禾 勹 3 人 水
㳇	氵 八 乂
㳘	氵 云 儿
㳚	氵 戊 4
㴔	氵 角 彐 心
㵐	氵 厂 丷 屮 欠
㶲	火 用
㸌	火 雨 隹
㺄	犬 合 月 刀
㻬	王 雨 1 丂
㽏	氵 合 甘
㿠	白 龸 兀
䂮	丰 刀 石
䃎	石 大 夕 夕
䎃	冂 土 羽
䎖	 日 羽
䏲	月 丷 
䐃	月 囗 禾
䓛	艹 尸 屮 冂
䓫	艹 大 可
䓬	艹 卜 日 十
䗛	虫 亻 夂 月
䗪	广 廿 火 虫
䗴	虫 竹 王 廴
䢺	屮 冂 耳
䢼	廿 八 耳
䣘	龸 口 土 耳
𠅤	亠 田 心
𠙶	了 冂
𠳐	口 丰 耳
𡎚	土 户 册
𡐓	土 广 聿 水
𤧛	王 立 巾
𤫉	王 言 火 火 又
𥔲	石 吅 1 丂
𥕢	石  日
𥖨	石 口 吅 木
𦒍	立 里 羽
𦙶	月 古
𦝼	月 米 女
𦭜	艹 口 八
𦰡	艹 5 手 耳
𨐈	车 龸 兀
𨙸	十 又 耳
𨚕	厶 艹 耳
𨟠	目 目 隹 耳
𨭉	文 1 弋 止 金
𨺙	耳 臼 儿
𪤗	土 羽 人 彡
𪨰	山 曲
𫄷	纟 音 心
𫐓	车 矛 木
𫔶	门 自 木
𫘬	马 爪 幺 大
𫟅	纟 高 小
𫟦	车 丷 豕 辶
𫟼	金 大 辶
𫠊	马 亠 幺
𫭟	土 匚 乂
𫭼	土  力
𫵷	山 厂 力
𫸩	弓 匚 乂
𬃊	木 厂 十 贝
𬌗	牙 合
𬒔	石 止 月
𬒗	石 刀 竹 见
𬘯	纟 高 子
𬜯	艹 1 内 人
𬞟	艹 止 小 页
𬣡	言 1 戈
𬨂	车 卯 七
𬬿	金 召
𬭊	金 木 土
𬭛	金 氵 皮
𬭯	金 㡀 夂
𬭳	金 壴 口
𬭶	金 黑
𬮿	耳 山 己
𬸪	采 田 鸟
𬹼	齿 人 
𬺓	齿 林 疋
丌	兀
丨	2
丿	3
丶	4
匚	匚
刂	刀
冂	冂
亻	亻
佧	亻 上 卜
氽	人 水
勹	勹
亠	亠
冫	冫
冖	冖
讠	言
卩	卩
阝	耳
阢	耳 兀
廴	廴
凵	冂
厶	厶
坶	土 母
艹	艹
茇	艹 右 又
廾	艹
扌	手
挢	手 天 
揲	手 廿 5 木
揞	手 音
揎	手 宀 1 旦
擗	手 尸 口 辛
哜	口 文 
囗	囗
囝	囗 子
彡	彡
犭	犬
猸	犬 尸 目
夂	夂
饣	食
忄	心
丬	片
氵	氵
沲	氵 气 也
宀	宀
辶	辶
彐	彐
弪	弓 又 工
屮	屮
纟	纟
缍	纟 千 艹 二
缋	纟 虫 贝
缏	纟 亻 更
巛	川
楱	木 丰 天
榀	木 口 吅
軎	车 口
攴	歹
攵	夂
膣	月 穴 至
膪	月 立 巾 口
欷	乂 右 巾 欠
灬	火
礻	示
憝	高 子 夂 心
礤	石 艹 八 示
钅	金
钶	金 可
钸	金 右 巾
镙	金 田 纟
镟	金 方 气 疋
疒	疒
痖	疒 1 业
衤	衣
疋	疋
虍	虍
蚵	虫 可
螓	虫 丰 禾
蟓	虫 象
舡	舟 工
糸	纟
